;coordN;coordE;sample_depth
FSP-74;-42.44;-24.29;-4
FSP-75;-42.44;-24.29;-75
FSP-76;-41.98;-25.2;-104
FSP-77;-41.98;-25.2;-893
FSP-78;-42.12;-23.21;-4
FSP-79;-45.84;-24.77;-33
FSP-8;-43.97;-25.7;-90
FSP-80;-47.43;-26.05;-20
FSP-81;-45.39;-25.3;-35
FSP-82;-43.92;-23.59;-23
FSP-83;-47.39;-27.1;-75
FSP-84;-42.27;-22.96;-4
FSP-85;-44.94;-23.71;-5
FSP-86;-45.39;-25.3;-5
FSP-87;-44.65;-24.48;-4
FSP-88;-41.35;-24.53;-892
FSP-89;-45.1;-26.65;-63
FSP-9;-42.92;-23.33;-4
FSP-90;-44.47;-24.81;-45
FSP-91;-44.22;-25.26;-80
FSP-92;-42.77;-23.64;-4
FSP-93;-46.87;-25.06;-35
FSP-94;-46.43;-26.56;-250
FSP-95;-47.12;-24.82;-4
FSP-96;-45.1;-26.65;-5
FSP-97;-46.61;-25.29;-34
FSP-98;-41.52;-24.24;-1189
FSP-99;-47.75;-27.01;-3
FSP-W18;-44.81;-24.18;-5
S10_D1_1M;-46.29;-24.25;-4
S10_D1_PMC;-46.29;-24.25;-28
S11_D6_1M;-45.1;-25.64;-5
S11_D6_250M;-45.1;-25.64;-250
S11_D6_PMC;-45.1;-25.64;-115
S11_D7_1200M;-44.83;-25.95;-1200
S11_D7_1M;-44.83;-25.95;-5
S11_D7_250M;-44.83;-25.95;-250
S11_D7_900M;-44.83;-25.95;-900
S11_D7_PMC;-44.83;-25.95;-107
S11_D8_1200M;-44.42;-26.43;-1200
S11_D8_1M;-44.42;-26.43;-2300
S11_D8_2300M;-44.42;-26.43;-5
S11_D8_250M;-44.42;-26.43;-250
S11_D8_900M;-44.42;-26.43;-900
S11_D8_PMC;-44.42;-26.43;-112
S11_E8_1200M;-43.51;-26.54;-1200
S11_E8_1M;-43.51;-26.54;-4
S11_E8_2300M;-43.51;-26.54;-2300
S11_E8_250M;-43.51;-26.54;-250
S11_E8_900M;-43.51;-26.54;-900
S11_E8_PMC;-43.51;-26.54;-107
S12_E1_1M;-44.94;-23.71;-5
S12_E1_PMC;-44.94;-23.71;-20
S12_E2_1M;-44.81;-24.18;-5
S12_E2_PMC;-44.81;-24.18;-23
S12_E3_1M;-44.65;-24.48;-5
S12_E3_PMC;-44.65;-24.48;-71
S12_E4_1M;-44.47;-24.81;-5
S12_E4_250M;-44.47;-24.81;-250
S12_E4_PMC;-44.47;-24.81;-102
S12_E5_1200M;-44.22;-25.26;-1200
S12_E5_1M;-44.22;-25.26;-5
S12_E5_250M;-44.22;-25.26;-250
S12_E5_900M;-44.22;-25.26;-900
S12_E5_PMC;-44.22;-25.26;-100
S12_E6_1200M;-43.97;-25.7;-1200
S12_E6_1M;-43.97;-25.7;-5
S12_E6_2300M;-43.97;-25.7;-2090
S12_E6_250M;-43.97;-25.7;-250
S12_E6_900M;-43.97;-25.7;-900
S12_E6_PMC;-43.97;-25.7;-108
S12_E7_1200M;-43.72;-26.15;-1200
S12_E7_1M;-43.72;-26.15;-5
S12_E7_2300M;-43.72;-26.15;-2230
S12_E7_250M;-43.72;-26.15;-250
S12_E7_900M;-43.72;-26.15;-900
S12_E7_PMC;-43.72;-26.15;-76
S12_F1_1M;-44.09;-23.26;-5
S12_F1_PMC;-44.09;-23.26;-21
S12_F2_1M;-43.92;-23.59;-5
S12_F2_PMC;-43.92;-23.59;-43
S12_F3_1M;-43.77;-23.89;-5
S12_F3_PMC;-43.77;-23.89;-61
S13_F4_1M;-43.57;-24.29;-5
S13_F4_250M;-43.57;-24.29;-250
S13_F4_PMC;-43.57;-24.29;-110
S13_F5_1200M;-43.34;-24.74;-1200
S13_F5_1M;-43.34;-24.74;-5
S13_F5_250M;-43.34;-24.74;-250
S13_F5_900M;-43.34;-24.74;-900
S13_F5_PMC;-43.34;-24.74;-108
S13_F6_1200M;-43.1;-25.2;-1200
S13_F6_1M;-43.1;-25.2;-5
S13_F6_2300M;-43.1;-25.2;-2175
S13_F6_250M;-43.1;-25.2;-250
S13_F6_900M;-43.1;-25.2;-900
S13_F6_PMC;-43.1;-25.2;-110
S13_F7_1200M;-42.83;-25.73;-1200
S13_F7_1M;-42.83;-25.73;-5
S13_F7_2300M;-42.83;-25.73;-2180
S13_F7_250M;-42.83;-25.73;-250
S13_F7_900M;-42.83;-25.73;-900
S13_F7_PMC;-42.83;-25.73;-109
S13_F8_1200M;-42.62;-26.14;-1200
S13_F8_1M;-42.62;-26.14;-5
S13_F8_2300M;-42.62;-26.14;-2300
S13_F8_250M;-42.62;-26.14;-250
S13_F8_900M;-42.62;-26.14;-900
S13_F8_PMC;-42.62;-26.14;-127
S15_G1_1M;-43.07;-23.03;-3
S15_G1_PMC;-43.07;-23.03;-12
S15_G2_1M;-42.92;-23.33;-3
S15_G2_PMC;-42.92;-23.33;-15
S15_G3_1M;-42.77;-23.64;-3
S15_G3_PMC;-42.77;-23.64;-40
S15_G4_1M;-42.67;-23.84;-3
S15_G4_250M;-42.67;-23.84;-250
S15_G4_PMC;-42.67;-23.84;-68
S15_G5_1200M;-42.44;-24.29;-1200
S15_G5_1M;-42.44;-24.29;-3
S15_G5_250M;-42.44;-24.29;-250
S15_G5_900M;-42.44;-24.29;-900
S15_G5_PMC;-42.44;-24.29;-96
S15_G6_1200M;-42.21;-24.74;-1200
S15_G6_1M;-42.21;-24.74;-5
S15_G6_2300M;-42.21;-24.74;-2120
S15_G6_250M;-42.21;-24.74;-250
S15_G6_900M;-42.21;-24.74;-900
S15_G6_PMC;-42.21;-24.74;-96
S15_G7_1200M;-41.98;-25.2;-1200
S15_G7_1M;-41.98;-25.2;-5
S15_G7_2300M;-41.98;-25.2;-2220
S15_G7_250M;-41.98;-25.2;-250
S15_G7_900M;-41.98;-25.2;-900
S15_G7_PMC;-41.98;-25.2;-99
S15_H1_1M;-42.27;-22.96;-3
S15_H1_PMC;-42.27;-22.96;-16
S15_H2_1M;-42.12;-23.21;-3
S15_H2_PMC;-42.12;-23.21;-34
S15_H3_1M;-41.97;-23.47;-3
S15_H3_PMC;-41.97;-23.47;-71
S15_H4_1M;-41.78;-23.8;-5
S15_H4_250M;-41.78;-23.8;-250
S15_H4_PMC;-41.78;-23.8;-78
S15_H5_1200M;-41.52;-24.24;-1200
S15_H5_1M;-41.52;-24.24;-5
S15_H5_250M;-41.52;-24.24;-250
S15_H5_900M;-41.52;-24.24;-900
S15_H5_PMC;-41.52;-24.24;-88
S15_H6_1200M;-41.35;-24.53;-1200
S15_H6_1M;-41.35;-24.53;-5
S15_H6_2300M;-41.35;-24.53;-2300
S15_H6_250M;-41.35;-24.53;-250
S15_H6_900M;-41.35;-24.53;-900
S15_H6_PMC;-41.35;-24.53;-70
S8_A1_1M;-48.46;-26.84;-4
S8_A1_PMC;-48.46;-26.84;-30
S8_A2_1M;-48.1;-26.93;-4
S8_A3_1M;-47.75;-27.01;-4
S8_A3_PMC;-47.75;-27.01;-60
S8_A4_1M;-47.39;-27.1;-3
S8_A4_PMC;-47.39;-27.1;-82
S8_A5_1M;-46.93;-27.22;-4
S8_A5_250M;-46.93;-27.22;-250
S8_A6_1200M;-46.39;-27.35;-1200
S8_A6_1M;-46.39;-27.35;-4
S8_A6_250M;-46.39;-27.35;-250
S8_A6_900M;-46.39;-27.35;-900
S8_A6_PMC;-46.39;-27.35;-88
S8_A7_1200M;-45.85;-27.49;-1200
S8_A7_1M;-45.85;-27.49;-4
S8_A7_2300M;-45.85;-27.49;-2200
S8_A7_250M;-45.85;-27.49;-250
S8_A7_PMC;-45.85;-27.49;-90
S8_B1_1M;-48.06;-25.72;-4
S8_B1_PMC;-48.06;-25.72;-22
S8_B2_1M;-47.74;-25.89;-4
S8_B2_PMC;-47.74;-25.89;-45
S8_C4_PMC;-46.37;-25.51;-55
S9_B3_1M;-47.43;-26.05;-4
S9_B3_PMC;-47.43;-26.05;-56
S9_B4_1M;-47.11;-26.21;-4
S9_B4_PMC;-47.11;-26.21;-64
S9_B5_1M;-46.79;-26.38;-4
S9_B5_PMC;-46.79;-26.38;-56
S9_B6_1M;-46.43;-26.56;-4
S9_B6_250M;-46.43;-26.56;-250
S9_B6_PMC;-46.43;-26.56;-96
S9_B7_1200M;-45.92;-26.83;-1200
S9_B7_1M;-45.92;-26.83;-4
S9_B7_250M;-45.92;-26.83;-250
S9_B7_900M;-45.92;-26.83;-900
S9_B7_PMC;-45.92;-26.83;-118
S9_B8_1200M;-45.47;-27.06;-1200
S9_B8_1M;-45.47;-27.06;-4
S9_B8_250M;-45.47;-27.06;-250
S9_B8_900M;-45.47;-27.06;-900
S9_B8_PMC;-45.47;-27.06;-112
S9_C1_1M;-47.12;-24.82;-4
S9_C1_PMC;-47.12;-24.82;-24
S9_C2_1M;-46.87;-25.06;-4
S9_C2_PMC;-46.87;-25.06;-39
S9_C3_1M;-46.61;-25.29;-4
S9_C3_PMC;-46.61;-25.29;-36
S9_C4_1M;-46.37;-25.51;-4
S9_C5_1M;-46.11;-25.74;-4
S9_C5_PMC;-46.11;-25.74;-71
S9_C6_1M;-45.79;-26.03;-4
S9_C6_250M;-45.79;-26.03;-250
S9_C6_PMC;-45.79;-26.03;-75
S9_C7_1200M;-45.5;-26.3;-1200
S9_C7_1M;-45.5;-26.3;-4
S9_C7_250M;-45.5;-26.3;-250
S9_C7_900M;-45.5;-26.3;-900
S9_C7_PMC;-45.5;-26.3;-76
S9_C8_1200M;-45.1;-26.65;-1200
S9_C8_1M;-45.1;-26.65;-4
S9_C8_2300M;-45.1;-26.65;-2280
S9_C8_250M;-45.1;-26.65;-250
S9_C8_900M;-45.1;-26.65;-900
S9_C8_PMC;-45.1;-26.65;-102
zr2991_104V4V5;-44.22;-25.26;-892
zr2991_108V4V5;-42.83;-25.73;-1201
zr2991_113V4V5;-45.92;-26.83;-1269
zr2991_114V4V5;-43.34;-24.74;-1199
zr2991_116V4V5;-45.5;-26.3;-900
zr2991_118V4V5;-45.47;-27.06;-3
zr2991_11V4V5;-43.51;-26.54;-250
zr2991_121V4V5;-46.39;-27.35;-250
zr2991_126V4V5;-44.83;-25.95;-1190
zr2991_130V4V5;-44.22;-25.26;-1189
zr2991_132V4V5;-41.98;-25.2;-1190
zr2991_190V4V5;-45.5;-26.3;-3
zr2991_191V4V5;-45.1;-26.65;-1200
zr2991_194V4V5;-45.5;-26.3;-251
zr2991_196V4V5;-42.83;-25.73;-900
zr2991_197V4V5;-43.34;-24.74;-250
zr2991_201V4V5;-44.42;-26.43;-248
zr2991_202V4V5;-42.67;-23.84;-61
zr2991_28V4V5;-44.47;-24.81;-248
zr2991_37V4V5;-43.51;-26.54;-92
zr2991_71V4V5;-45.85;-27.49;-2208
zr2991_74V4V5;-43.1;-25.2;-251
zr2991_75V4V5;-42.21;-24.74;-1199
zr2991_76V4V5;-48.46;-26.84;-15
zr2991_78V4V5;-42.44;-24.29;-889
zr2991_84V4V5;-45.47;-27.06;-250
zr2991_88V4V5;-46.39;-27.35;-900
zr2991_94V4V5;-44.83;-25.95;-249
zr2991_99V4V5;-42.44;-24.29;-249
